1001N1100000000EYCFG,SP221303071132,2013-03-07,0001A810000000000P78,1001,1001F11000000000MPUJ,2013-03-07,1001F11000000000MPUJ,1001A810000000000CMX,厦烟3月丝束订单,N
1001N1100000000EYAF7,SP221303071133,2013-03-07,0001A8100000000012V3,1001,1001F11000000000MPUF,2013-03-07,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000EZ3LE,SP221303111135,2013-03-11,0001A8100000000012V3,1001,1001F11000000000MPUF,2013-03-11,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000EZE8S,SP221303121136,2013-03-12,0001F11000000003746Y,1001,1001F11000000000MPUF,2013-03-12,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000EZFV2,SP221303121137,2013-03-12,0001A810000000000X41,1001,1001F11000000000MPUF,2013-03-12,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000EZI3B,SP221303121138,2013-03-12,0001A810000000000WBJ,1001,1001F11000000000MPUF,2013-03-12,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000EZOAG,SP221303121139,2013-03-12,0001A810000000000P74,1001,1001F110000000055J9L,2013-03-12,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912029US 99.8841MT,N
1001N1100000000F1O0G,SP221303181141,2013-03-18,0001A810000000000PGM,1001,1001F11000000000MPUJ,2013-03-18,1001F11000000000MPUJ,1001A810000000000CMX,厦烟3月订单,N
1001N1100000000F1XL8,SP221303181142,2013-03-18,0001A8100000000012V3,1001,1001F11000000000MPUF,2013-03-18,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F1O5O,SP221303181143,2013-03-18,0001A810000000000X41,1001,1001F11000000000MPUF,2013-03-18,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F1NE2,SP221303181144,2013-03-18,0001A810000000000WBJ,1001,1001F11000000000MPUF,2013-03-18,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F1XLC,SP221303181145,2013-03-18,0001A8100000000011QZ,1001,1001F11000000000MPUF,2013-03-18,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F2AES,SP221303191147,2013-03-19,0001A810000000000P78,1001,1001F11000000000MPUJ,2013-03-19,1001F11000000000MPUJ,1001A810000000000CMX,龙烟3月订单,N
1001N1100000000F315Z,SP221303201148,2013-03-20,0001A810000000000PGM,1001,1001F11000000000MPUJ,2013-03-20,1001F11000000000MPUJ,1001A810000000000CMX,(null),N
1001N1100000000F3QVM,SP221303211149,2013-03-21,0001A810000000000PGM,1001,1001F11000000000MPUJ,2013-03-21,1001F11000000000MPUJ,1001A810000000000CMX,厦烟3月订单,N
1001N1100000000F4V3B,SP221303221150,2013-03-22,0001A810000000000X41,1001,1001F11000000000MPUF,2013-03-22,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F4SSV,SP221303221151,2013-03-22,0001A810000000000WBJ,1001,1001F11000000000MPUF,2013-03-22,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F4VVN,SP221303221152,2013-03-22,0001A8100000000012V3,1001,1001F11000000000MPUF,2013-03-22,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F4V3H,SP221303221153,2013-03-22,0001A8100000000011QZ,1001,1001F11000000000MPUF,2013-03-22,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F4SSY,SP221303221154,2013-03-22,0001A8100000000011QZ,1001,1001F11000000000MPUF,2013-03-22,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000F9YMJ,SP221303271155,2013-03-27,0001A8100000000012V3,1001,1001F11000000000MPUF,2013-03-27,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000FCX3U,SP221304011156,2013-04-01,0001A810000000000P78,1001,1001F11000000000MPUJ,2013-04-01,1001F11000000000MPUJ,1001A810000000000CMX,厦烟4月订单,N
1001N1100000000FCUSK,SP221304011157,2013-04-01,0001A810000000000P78,1001,1001F11000000000MPUJ,2013-04-01,1001F11000000000MPUJ,1001A810000000000CMX,龙烟4月订单,N
1001N1100000000FMBU3,SP221304151158,2013-04-15,0001A810000000000P74,1001,1001F110000000055J9L,2013-04-15,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912029US 99.9937MT,N
1001N1100000000FM8A1,SP221304151159,2013-04-15,0001A810000000000P74,1001,1001F110000000055J9L,2013-04-15,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912050US 199.357MT,N
1001N1100000000FSI99,SP221304171160,2013-04-17,0001A810000000000X41,1001,1001F11000000000MPUF,2013-04-17,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000FVSZY,SP221304181161,2013-04-18,0001A8100000000010HN,1001,1001F110000000055J9L,2013-04-18,1001F110000000055J9L,1001A810000000000CMX,LP20130228,N
1001N1100000000G7KII,SP221304221162,2013-04-22,0001A8100000000012V3,1001,1001F11000000000MPUF,2013-04-22,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000G975Y,SP221304231171,2013-04-23,0001A8100000000012V3,1001,1001F11000000000MPUF,2013-04-23,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000G8DSJ,SP221304231172,2013-04-23,0001A810000000000X41,1001,1001F11000000000MPUF,2013-04-23,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000G8EZK,SP221304231173,2013-04-23,0001A810000000000WBJ,1001,1001F11000000000MPUF,2013-04-23,1001F11000000000MPUF,1001A810000000000CMX,(null),N
